project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBwY00a1E-sk773A,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,unused",2011-07-14 21:26:25,2011-07-15 12:26:36,,"Remove this unused method parameter ""engine"".",gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/StoredValue.java,88.0,88.0,33.0,39.0,97f2031efcd1f8061f63484587dfcd4c,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBxf00a1E-sk7738,CODE_SMELL,squid:S1854,MAJOR,OPEN,,15,15,"cert,cwe,unused",2011-07-14 21:26:25,2011-07-15 12:26:36,,"Remove this useless assignment to local variable ""psInfo"".",gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_delta_4.java,83.0,83.0,24.0,65.0,f60bc047c6fb05fbb156ebf68dfd31de,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBxf00a1E-sk773_,CODE_SMELL,squid:S1481,MINOR,OPEN,,5,5,unused,2011-07-14 21:26:25,2011-07-15 12:26:36,,"Remove this unused ""psInfo"" local variable.",gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_delta_4.java,83.0,83.0,17.0,23.0,f60bc047c6fb05fbb156ebf68dfd31de,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrBRv00a1E-sk77Tt,AW9mrCAl00a1E-sk78EU,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-11 19:39:12,2011-08-23 13:58:07,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-sshd/src/main/java/com/google/gerrit/sshd/commands/ModifyReviewersCommand.java,54.0,54.0,44.0,52.0,3ca8e7130c430c87069f34ee57dcb5a4,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77po,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2011-07-11 18:28:29,2011-07-15 12:26:36,,Remove this unused import 'com.googlecode.prolog_cafe.lang.SymbolTerm'.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,39.0,39.0,0.0,50.0,34f730a56af20e8d162bbc45a0a8a9e2,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pq,CODE_SMELL,squid:S3776,CRITICAL,OPEN,,36,36,brain-overload,2011-07-11 18:28:29,2011-07-15 12:26:36,,Refactor this method to reduce its Cognitive Complexity from 46 to the 15 allowed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,236.0,236.0,28.0,37.0,d0d91e4b72672ad216101eb0a7bb1300,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pm,CODE_SMELL,squid:S1192,CRITICAL,OPEN,,10,10,design,2011-07-11 18:28:29,2011-07-15 12:26:36,,"Define a constant instead of duplicating this literal ""gerrit"" 4 times.",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,266.0,266.0,8.0,16.0,dcdb53427f471d85cb55237993dcf1e1,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pl,CODE_SMELL,squid:S1192,CRITICAL,OPEN,,10,10,design,2011-07-11 18:28:29,2011-07-15 12:26:36,,"Define a constant instead of duplicating this literal "" on change "" 4 times.",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,281.0,281.0,64.0,77.0,57e11e1e8796b66d0ca8f08cb0de9549,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pn,CODE_SMELL,squid:S1192,CRITICAL,OPEN,,10,10,design,2011-07-11 18:28:29,2011-07-15 12:26:36,,"Define a constant instead of duplicating this literal ""Exception calling "" 4 times.",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,281.0,281.0,28.0,48.0,57e11e1e8796b66d0ca8f08cb0de9549,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pt,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-11 18:28:29,2011-07-15 12:26:36,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,290.0,290.0,53.0,70.0,0169a01e72bdec83c36618fc1e139eb7,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBfd00a1E-sk77pu,CODE_SMELL,squid:S2147,MINOR,OPEN,,5,5,clumsy,2011-07-11 18:28:29,2011-07-15 12:26:36,,"Combine this catch with the one at line 319, which has the same body. (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,322.0,322.0,19.0,39.0,cb0ecfe4403a99462157bceaa5eefd19,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrB1_00a1E-sk778t,CODE_SMELL,squid:S3776,CRITICAL,OPEN,,20,20,brain-overload,2011-07-11 06:22:00,2011-07-15 12:26:36,,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,gerrit:gerrit-httpd/src/main/java/com/google/gerrit/httpd/rpc/project/ListBranches.java,65.0,65.0,28.0,32.0,e78b850c3dc86d7e6d1bcef3ae1be53e,False
